composer,url,title,date,from,originator,arranger,text author,duration,difficulty level,voicing,voicing notes,soloists,instruments,language,,,,sample performance,range notes,tessitura notes,vocal line notes,voice type notes,accompaniment,general notes,provided by
AARON WILSON,http://bestpianobook.com/sheet-music/,Encinctured With a Twine of Leaves,2022,,,,Samuel Coleridge,2'26'',,"SSAA, SATB",,,,English,,,,http://www.youtube.com/watch?v=XUDGxP7UKKA&t=39s,,,,,Unaccompanied,,
ABBIE BETINIS,http://www.abbiebetinis.com/,"Aililiú, Ó Iosa",2005,"Aililiú, Ó Iosa",,,"traditional Gaelic (I); from the Latin notes of seventh century Bishop Tirechan of Ireland (II), and from the Latin poem ""De Strage Normannorum"" by Sedulius Scottus (III)
","14'00""",,SATB divisi,,"Countertenor Solo, Soprano Solo","Gaelic hp, vielle or vla, bodhrán","Traditional Gaelic, Latin",http://www.abbiebetinis.com/works_choral.html,https://www.abbiebetinis.com/works/aililiu_o_iosa.html,http://www.abbiebetinis.com/works/aililiu_o_iosa.html,,,,,,,"I. solo soprano, SSA solists, small men's chorus, Gaelic harp, vielle (or viola)
II. solo countertenor, vielle (or viola), offstage SATB chorus
III. TB voices, vielle (or viola), bodhrán",
ABBIE BETINIS,http://www.abbiebetinis.com/,An Caoineadh (No. 1),2005,,,,Lament for Art Ó Laoghaire - Irish Keen,"6'30""",,,,"Soprano solo, SSA trio",hp / vla,Gaelic,https://imslp.org/wiki/Sacri_concerti_(Rusca%2C_Claudia_Francesca),https://imslp.org/wiki/Sacri_concerti_(Rusca%2C_Claudia_Francesca),,,,,,,,,
ABBIE BETINIS,http://www.abbiebetinis.com/,Bar Xizam (Upward I Rise),2007,,,,Khwajeh Shams Al-Din Muhammad Hâfez-E Shirazi,"8'00""",,SATB divisi,,"soprano, alto, tenor solos",,Medieval Persian,http://www.abbiebetinis.com/works_choral.html,http://www.abbiebetinis.com/works_choral.html,,https://youtu.be/H0n1c_Ku2ls,,,,,,,
ABBIE BETINIS,http://www.abbiebetinis.com/,Be Like the Bird,2009,,,,Victor Hugo,"Variable (2'00""-4'00"")",3,5-Part Canon,,,,English,https://abbiebetinis.com/works/be_like_the_bird.html,https://www.abbiebetinis.com/works/be_like_the_bird.html,,https://www.youtube.com/watch?v=kEANteNY0h0,,,,,,,
ABBIE BETINIS,http://www.abbiebetinis.com/,"Blessed Be The Lord, My Rock",2001,,,,Psalm 144,6'00'',,SAB,,,opt. pno or org,English,http://www.abbiebetinis.com/works_choral.html,https://www.abbiebetinis.com/works/blessed_be_the_lord.html,http://www.abbiebetinis.com/works/blessed_be_the_lord.html,,,,,,,,
ABBIE BETINIS,http://www.abbiebetinis.com/,Carmina Mei Cordis (Songs Of My Heart),2004,,,, Traditional Latin (Liturgia Horarum & Reginald of Canterbury),6'00'',,SATB divisi,,Optional soprano and alto solos,,Latin,http://www.abbiebetinis.com/works_choral.html,https://www.abbiebetinis.com/works/carmina_mei_cordis.html,http://www.abbiebetinis.com/works/carmina_mei_cordis.html,,,,,,,,
ABBIE BETINIS,http://www.abbiebetinis.com/,"Cedit, Hyems (Be Gone, Winter!)",2003,,,,"Prudentius, Carmina Burana Ms.","3'00""",,SATB,,,fl,Latin,http://www.abbiebetinis.com/works_choral.html,https://www.abbiebetinis.com/works/cedit_hyems.html,http://www.abbiebetinis.com/works/cedit_hyems.html,https://www.youtube.com/watch?v=cFzj_pHsVJU&ab_channel=USChoral,,,,,,,
ABBIE BETINIS,http://www.abbiebetinis.com/,Come In! Come In!,2011,,,,Abbie Betinis,"Variable (1'00""-2'00"")",2,Canon,,,,English,https://abbiebetinis.com/works/come_in_come_in.html,https://www.abbiebetinis.com/works/come_in_come_in.html,,https://www.youtube.com/watch?v=UrpL_S-Xef4&ab_channel=AngelicaCantantiYouthChoirs,,,,,,,
ABBIE BETINIS,http://www.abbiebetinis.com/,Dormi Jesu (Jesus Sleeps),2001,,,,Anonymous,"5'00""",,SATB,,,,Latin,http://www.abbiebetinis.com/works_choral.html,https://www.abbiebetinis.com/works/dormi_jesu.html,http://www.abbiebetinis.com/works/dormi_jesu.html,https://www.youtube.com/watch?v=pOfq2xfw6zM&ab_channel=maestroz25,,,,,,,
ABBIE BETINIS,http://www.abbiebetinis.com/,Gaudeant Caeli (Rejoice Heavens),2005,,,,"From the Latin poem ""De Strage Normannorum"" by Sedulius Scottus","2'30""",,,,,perc / vla,Latin,https://www.abbiebetinis.com/works/aililiu_o_iosa.html,https://www.abbiebetinis.com/works/aililiu_o_iosa.html,https://www.abbiebetinis.com/works/aililiu_o_iosa.html,,,,,,,,
ABBIE BETINIS,http://www.abbiebetinis.com/,God Of Owls,2004,,,,Anonymous,6'00'',,SATB Divisi (SATTBB),,,,English,http://www.abbiebetinis.com/works_choral.html,https://www.abbiebetinis.com/works/god_of_owls.html,http://www.abbiebetinis.com/works/god_of_owls.html,https://www.youtube.com/watch?v=Bjj8GwF6ync&ab_channel=dmanski,,,,,,,
ABBIE BETINIS,http://www.abbiebetinis.com/,Hunger of the World: a Table Grace,2007,,,,Josephine Preston Peabody,"Variable (1'00""-2'00"")",1,1-8 Part Canon,,,,English,https://abbiebetinis.com/works/table_grace.html,https://www.abbiebetinis.com/works/table_grace.html,,https://abbiebetinis.com/works/table_grace.html,,,,,,,
ABBIE BETINIS,http://www.abbiebetinis.com/,i carry your heart with me,2003,,,,E. E. Cummings,"3'30""",,SATB divisi,,,,English,http://www.abbiebetinis.com/works_choral.html,https://www.abbiebetinis.com/works/i_carry_your_heart.html,http://www.abbiebetinis.com/works/i_carry_your_heart.html,https://www.youtube.com/watch?v=DFvDzLrPoxA&ab_channel=ConnecticutCollegeChoirs,,,,,,,
ABBIE BETINIS,http://www.abbiebetinis.com/,In The Bleak Midwinter,2007,,Gustav Holst,,"Christina Rossetti, Andrew Stoney",6'00'',,SATB,,,hp (opt.),English,http://www.abbiebetinis.com/works_choral.html,https://www.abbiebetinis.com/works/in_the_bleak_midwinter.html,http://www.abbiebetinis.com/works/in_the_bleak_midwinter.html,https://www.abbiebetinis.com/works/in_the_bleak_midwinter.html,,,,,,,
ABBIE BETINIS,http://www.abbiebetinis.com/,"In This Tyme Of Chrystmas (formerly ""Quid Petis O Fili"")",2006,,,,Collection Of Elizabethan Christmas Carols,"5'08""",,Multiple Chorus (SSS + SATBB),,,,English,http://www.abbiebetinis.com/works_choral.html,https://www.abbiebetinis.com/works/in_this_tyme_of_chrystmas.html,http://www.abbiebetinis.com/works/in_this_tyme_of_chrystmas.html,,,,,,,,
ABBIE BETINIS,http://www.abbiebetinis.com/,Journey Home (In English And Spanish),2007,,,,"Erik Halvorson, adapted by the composer","4'00""",,SATB,,,pno,English and Spanish,http://www.abbiebetinis.com/works_choral.html,https://www.abbiebetinis.com/works/journey_home.html,http://www.abbiebetinis.com/works/journey_home.html,#ERROR!,,,,,,Soprano descant,
ABBIE BETINIS,http://www.abbiebetinis.com/,Long Time Trav'ling,2005,,,,Traditional American (19th Century Text),"4'00""",5,SATB divisi,,2 Tenor soloists - duet,,English,http://www.abbiebetinis.com/contact.html,https://sbmp.com/SR2.php?CatalogNumber=702,https://www.abbiebetinis.com/works/long_time_travling.html,https://youtu.be/pSC_XF0YeMk,,,,,,"""Shape-note style"" semi-chorus",
ABBIE BETINIS,http://www.abbiebetinis.com/,Love Is Love Is Love Is Love,2017,,,,Compiled by the composer,"Variable (2'00""-4'00"")",1,4-Part Round with Audience Mantra,,,opt. pno,"English, Latin",https://abbiebetinis.com/works/love_is_love_is_love_is_love.html,https://www.abbiebetinis.com/works/love_is_love_is_love_is_love.html,,https://abbiebetinis.com/works/love_is_love_is_love_is_love.html,,,,,,"This song was written for the Justice Choir Songbook. It is dedicated to the victims, and survivors, of hate crimes everywhere, and specifically for those at the Pulse nightclub in Orlando on June 12, 2016. Love is often the bravest thing we do. May love prevail. -Abbie",
ABBIE BETINIS,http://www.abbiebetinis.com/,Lumen,2012,,,,Latin aphorisms (Anonymous),"Variable (2'00""-4'00"")",3,"Unison Chant, with  3-Part Canon",,,,Latin,https://abbiebetinis.com/works/lumen.html,https://www.abbiebetinis.com/works/lumen.html,,https://abbiebetinis.com/works/lumen.html,,,,,,,
ABBIE BETINIS,http://www.abbiebetinis.com/,Mary And Gabriel,2006,,,,Rupert Brooke,"7'20""",,SATB divisi,,"Soprano, Alto, Tenor, Bass soloists",perc,English,http://www.abbiebetinis.com/works_choral.html,http://www.abbiebetinis.com/works_choral.html,https://www.abbiebetinis.com/works/mary_and_gabriel.html,,,,,,,,
ABBIE BETINIS,http://www.abbiebetinis.com/,"Morning Round / Awake, Awake, Ye Sleepers",2013,,,,Abbie Betinis / Traditional,"Variable (2'00""-3'00"")",1,Morning: 4-Part Canon / Awake: 3-Part Canon,,,,English,https://abbiebetinis.com/works/morning_round.html,https://www.abbiebetinis.com/works/morning_round.html,https://soundcloud.com/abbie-betinis/morning-round-with-awake-awake-ye-sleepers,https://abbiebetinis.com/works/morning_round.html,,,,,,,
